family,direction,split,regime_mult,effective_stop,n,win_rate,avg_net,total_net,pf,hard_stop%,avg_bars
P1-11,short,IS,0.6,0.42,657,50.8,-0.0198,-13.009,0.85,16.6,27.1
P1-11,short,OOS,0.6,0.42,247,47.4,-0.0572,-14.124,0.7,25.9,25.2
P1-11,short,IS,0.8,0.56,657,51.3,-0.0203,-13.355,0.85,11.7,28.2
P1-11,short,OOS,0.8,0.56,247,48.6,-0.0691,-17.061,0.66,19.4,27.0
P1-11,short,IS,1.0,0.7,657,51.6,-0.0181,-11.89,0.86,6.8,29.0
P1-11,short,OOS,1.0,0.7,247,49.0,-0.0699,-17.265,0.66,15.8,27.6
P1-11,short,IS,1.2,0.84,657,51.8,-0.0162,-10.636,0.88,4.1,29.3
P1-11,short,OOS,1.2,0.84,247,49.4,-0.0661,-16.32,0.68,11.7,28.3
P1-11,short,IS,1.3,0.91,657,51.8,-0.0158,-10.394,0.88,3.5,29.5
P1-11,short,OOS,1.3,0.91,247,49.4,-0.0636,-15.715,0.69,9.7,28.5
P1-11,short,IS,1.5,1.05,657,51.9,-0.0136,-8.966,0.89,2.1,29.6
P1-11,short,OOS,1.5,1.05,247,50.2,-0.0591,-14.607,0.7,6.9,29.0
P1-11,short,IS,1.8,1.26,657,51.9,-0.0128,-8.415,0.9,1.2,29.8
P1-11,short,OOS,1.8,1.26,247,50.2,-0.0581,-14.35,0.71,4.9,29.2
P1-11,short,IS,2.0,1.4,657,51.9,-0.0131,-8.594,0.9,0.9,29.9
P1-11,short,OOS,2.0,1.4,247,50.2,-0.0417,-10.308,0.77,2.4,29.6
