family,direction,split,regime_mult,effective_stop,n,win_rate,avg_net,total_net,pf,hard_stop%,avg_bars
P1-10,short,IS,0.6,0.42,247,50.2,-0.0115,-2.851,0.92,16.2,27.6
P1-10,short,OOS,0.6,0.42,246,42.7,-0.0621,-15.284,0.73,34.6,24.0
P1-10,short,IS,0.8,0.56,247,50.2,-0.0153,-3.786,0.9,10.1,28.7
P1-10,short,OOS,0.8,0.56,246,45.1,-0.0646,-15.88,0.73,26.8,25.7
P1-10,short,IS,1.0,0.7,247,50.2,-0.0171,-4.228,0.89,5.7,29.2
P1-10,short,OOS,1.0,0.7,246,45.9,-0.0786,-19.343,0.7,21.5,26.9
P1-10,short,IS,1.2,0.84,247,50.2,-0.0222,-5.475,0.86,4.9,29.3
P1-10,short,OOS,1.2,0.84,246,46.3,-0.0757,-18.613,0.7,15.0,28.0
P1-10,short,IS,1.3,0.91,247,50.6,-0.0188,-4.655,0.88,4.5,29.5
P1-10,short,OOS,1.3,0.91,246,46.3,-0.0743,-18.288,0.71,12.6,28.2
P1-10,short,IS,1.5,1.05,247,50.6,-0.0175,-4.311,0.89,2.4,29.6
P1-10,short,OOS,1.5,1.05,246,46.7,-0.0638,-15.691,0.74,8.1,28.9
P1-10,short,IS,1.8,1.26,247,50.6,-0.0136,-3.366,0.91,1.2,29.8
P1-10,short,OOS,1.8,1.26,246,46.7,-0.0607,-14.927,0.75,4.9,29.3
P1-10,short,IS,2.0,1.4,247,50.6,-0.0124,-3.068,0.92,0.4,30.0
P1-10,short,OOS,2.0,1.4,246,46.7,-0.0539,-13.261,0.77,2.0,29.7
