family,direction,split,thesis_inv_thr,n,win_rate,avg_net,total_net,pf,hard_stop%,thesis_inv%,avg_bars
P1-8,short,IS,0.005,247,50.2,-0.0158,-3.914,0.89,2.8,6.5,28.7
P1-8,short,OOS,0.005,246,45.5,-0.0536,-13.183,0.77,6.9,19.1,25.6
P1-8,short,IS,0.007,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.007,246,45.9,-0.0757,-18.633,0.7,20.7,0.8,26.9
P1-8,short,IS,0.008,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.008,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
P1-8,short,IS,0.01,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.01,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
P1-8,short,IS,0.012,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.012,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
P1-8,short,IS,0.015,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.015,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
P1-8,short,IS,0.02,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.02,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
P1-8,short,IS,0.025,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,0.025,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
P1-8,short,IS,OFF,247,50.2,-0.0171,-4.228,0.89,5.7,0.0,29.2
P1-8,short,OOS,OFF,246,45.9,-0.0786,-19.343,0.7,21.5,0.0,26.9
