family,direction,split,thesis_inv_thr,n,win_rate,avg_net,total_net,pf,hard_stop%,thesis_inv%,avg_bars
P1-10,long,IS,-0.005,346,47.7,-0.0356,-12.322,0.83,8.1,9.0,27.4
P1-10,long,OOS,-0.005,146,48.6,-0.0618,-9.017,0.73,11.0,10.3,26.4
P1-10,long,IS,-0.007,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.007,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,-0.008,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.008,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,-0.01,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.01,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,-0.012,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.012,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,-0.015,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.015,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,-0.02,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.02,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,-0.025,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,-0.025,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
P1-10,long,IS,OFF,346,48.6,-0.0299,-10.347,0.86,14.5,0.0,28.0
P1-10,long,OOS,OFF,146,48.6,-0.0666,-9.725,0.72,18.5,0.0,27.0
