family,direction,split,thesis_inv_thr,n,win_rate,avg_net,total_net,pf,hard_stop%,thesis_inv%,avg_bars
P1-11,short,IS,0.005,657,51.1,-0.0186,-12.237,0.86,2.0,9.1,28.2
P1-11,short,OOS,0.005,247,49.0,-0.0548,-13.534,0.72,7.3,11.7,26.8
P1-11,short,IS,0.007,657,51.6,-0.0181,-11.889,0.86,6.5,0.5,29.0
P1-11,short,OOS,0.007,247,49.0,-0.0696,-17.199,0.67,15.4,0.4,27.6
P1-11,short,IS,0.008,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,0.008,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
P1-11,short,IS,0.01,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,0.01,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
P1-11,short,IS,0.012,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,0.012,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
P1-11,short,IS,0.015,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,0.015,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
P1-11,short,IS,0.02,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,0.02,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
P1-11,short,IS,0.025,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,0.025,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
P1-11,short,IS,OFF,657,51.6,-0.0181,-11.89,0.86,6.8,0.0,29.0
P1-11,short,OOS,OFF,247,49.0,-0.0699,-17.265,0.66,15.8,0.0,27.6
