family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
P1-10,short,IS,0.003,0.6,247,54.3,0.004,0.99,1.03,31.6,28.0,31.0,0.0,39.0,0.0,3.0
P1-10,short,OOS,0.003,0.6,246,49.2,-0.034,-8.37,0.82,20.8,29.0,25.0,0.0,46.0,0.0,1.0
P1-10,short,IS,0.003,0.8,247,58.3,0.0108,2.68,1.07,36.1,29.0,33.0,0.0,34.0,0.0,3.0
P1-10,short,OOS,0.003,0.8,246,51.6,-0.0412,-10.12,0.8,23.2,30.0,26.0,0.0,43.0,0.0,1.0
P1-10,short,IS,0.003,1.0,247,61.9,0.0172,4.25,1.11,39.7,31.0,35.0,0.0,30.0,0.0,4.0
P1-10,short,OOS,0.003,1.0,246,54.1,-0.0469,-11.53,0.79,24.3,32.0,27.0,0.0,40.0,0.0,1.0
P1-10,short,IS,0.003,1.3,247,63.2,0.008,1.97,1.05,42.9,32.0,36.0,0.0,26.0,0.0,6.0
P1-10,short,OOS,0.003,1.3,246,55.3,-0.0622,-15.29,0.74,26.7,34.0,27.0,0.0,37.0,0.0,2.0
P1-10,short,IS,0.003,1.5,247,64.4,0.0087,2.15,1.05,45.6,32.0,37.0,0.0,23.0,0.0,8.0
P1-10,short,OOS,0.003,1.5,246,55.7,-0.077,-18.95,0.7,28.3,34.0,27.0,0.0,37.0,0.0,2.0
P1-10,short,IS,0.003,2.0,247,65.2,0.0154,3.79,1.09,48.8,33.0,37.0,0.0,18.0,0.0,12.0
P1-10,short,OOS,0.003,2.0,246,58.5,-0.0797,-19.61,0.7,32.7,37.0,28.0,0.0,33.0,0.0,2.0
P1-10,short,IS,0.005,0.6,247,54.3,0.004,0.99,1.03,31.6,28.0,31.0,0.0,39.0,0.0,3.0
P1-10,short,OOS,0.005,0.6,246,49.2,-0.034,-8.37,0.82,20.8,29.0,25.0,0.0,46.0,0.0,1.0
