family,direction,split,regime_mult,effective_stop,n,win_rate,avg_net,total_net,pf,hard_stop%,avg_bars
P1-10,long,IS,0.6,0.42,346,44.2,-0.0389,-13.472,0.81,30.9,24.9
P1-10,long,OOS,0.6,0.42,146,46.6,-0.0715,-10.437,0.7,37.0,23.7
P1-10,long,IS,0.8,0.56,346,46.8,-0.0358,-12.38,0.83,20.5,27.0
P1-10,long,OOS,0.8,0.56,146,48.6,-0.0631,-9.212,0.73,24.7,26.0
P1-10,long,IS,1.0,0.7,346,48.6,-0.0299,-10.347,0.86,14.5,28.0
P1-10,long,OOS,1.0,0.7,146,48.6,-0.0666,-9.725,0.72,18.5,27.0
P1-10,long,IS,1.2,0.84,346,49.1,-0.0349,-12.07,0.84,9.8,28.8
P1-10,long,OOS,1.2,0.84,146,48.6,-0.0755,-11.022,0.69,13.0,27.9
P1-10,long,IS,1.3,0.91,346,49.1,-0.0393,-13.611,0.82,9.2,28.8
P1-10,long,OOS,1.3,0.91,146,48.6,-0.079,-11.532,0.68,12.3,28.2
P1-10,long,IS,1.5,1.05,346,49.7,-0.0312,-10.811,0.85,5.8,29.2
P1-10,long,OOS,1.5,1.05,146,48.6,-0.0908,-13.255,0.65,11.0,28.5
P1-10,long,IS,1.8,1.26,346,49.7,-0.0395,-13.671,0.82,4.3,29.5
P1-10,long,OOS,1.8,1.26,146,48.6,-0.0906,-13.225,0.65,6.8,29.2
P1-10,long,IS,2.0,1.4,346,49.7,-0.0403,-13.933,0.82,3.2,29.7
P1-10,long,OOS,2.0,1.4,146,48.6,-0.0946,-13.815,0.64,6.2,29.3
