family,direction,split,thesis_inv_thr,regime_mult_QT,n,win_rate,avg_net,total_net,pf,avg_bars,decay%,logic%,thesis_inv%,hard_stop%,protect%,time_cap%
P1-11,short,IS,0.003,0.6,657,56.9,-0.0087,-5.7,0.96,87.4,35.0,0.0,0.0,14.0,0.0,51.0
P1-11,short,OOS,0.003,0.6,247,60.3,-0.0097,-2.4,0.96,69.0,47.0,0.0,0.0,21.0,0.0,32.0
P1-11,short,IS,0.003,0.8,657,57.7,0.0007,0.43,1.0,90.9,35.0,0.0,0.0,9.0,0.0,56.0
P1-11,short,OOS,0.003,0.8,247,62.3,0.0049,1.22,1.02,72.2,49.0,0.0,0.0,15.0,0.0,36.0
P1-11,short,IS,0.003,1.0,657,57.7,0.0025,1.64,1.01,92.1,35.0,0.0,0.0,8.0,0.0,57.0
P1-11,short,OOS,0.003,1.0,247,63.2,0.016,3.96,1.07,74.2,50.0,0.0,0.0,13.0,0.0,37.0
P1-11,short,IS,0.003,1.3,657,57.7,0.005,3.29,1.03,92.8,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.003,1.3,247,63.2,0.0225,5.57,1.1,75.7,50.0,0.0,0.0,11.0,0.0,39.0
P1-11,short,IS,0.003,1.5,657,57.7,0.0042,2.74,1.02,93.0,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.003,1.5,247,63.2,0.021,5.19,1.09,76.4,50.0,0.0,0.0,10.0,0.0,40.0
P1-11,short,IS,0.003,2.0,657,57.7,0.0038,2.51,1.02,93.2,36.0,0.0,0.0,5.0,0.0,59.0
P1-11,short,OOS,0.003,2.0,247,63.2,0.022,5.44,1.1,76.7,50.0,0.0,0.0,9.0,0.0,40.0
P1-11,short,IS,0.005,0.6,657,56.9,-0.0087,-5.7,0.96,87.4,35.0,0.0,0.0,14.0,0.0,51.0
P1-11,short,OOS,0.005,0.6,247,60.3,-0.0097,-2.4,0.96,69.0,47.0,0.0,0.0,21.0,0.0,32.0
P1-11,short,IS,0.005,0.8,657,57.7,0.0007,0.43,1.0,90.9,35.0,0.0,0.0,9.0,0.0,56.0
P1-11,short,OOS,0.005,0.8,247,62.3,0.0049,1.22,1.02,72.2,49.0,0.0,0.0,15.0,0.0,36.0
P1-11,short,IS,0.005,1.0,657,57.7,0.0025,1.64,1.01,92.1,35.0,0.0,0.0,8.0,0.0,57.0
P1-11,short,OOS,0.005,1.0,247,63.2,0.016,3.96,1.07,74.2,50.0,0.0,0.0,13.0,0.0,37.0
P1-11,short,IS,0.005,1.3,657,57.7,0.005,3.29,1.03,92.8,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.005,1.3,247,63.2,0.0225,5.57,1.1,75.7,50.0,0.0,0.0,11.0,0.0,39.0
P1-11,short,IS,0.005,1.5,657,57.7,0.0042,2.74,1.02,93.0,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.005,1.5,247,63.2,0.021,5.19,1.09,76.4,50.0,0.0,0.0,10.0,0.0,40.0
P1-11,short,IS,0.005,2.0,657,57.7,0.0038,2.51,1.02,93.2,36.0,0.0,0.0,5.0,0.0,59.0
P1-11,short,OOS,0.005,2.0,247,63.2,0.022,5.44,1.1,76.7,50.0,0.0,0.0,9.0,0.0,40.0
P1-11,short,IS,0.007,0.6,657,56.9,-0.0087,-5.7,0.96,87.4,35.0,0.0,0.0,14.0,0.0,51.0
P1-11,short,OOS,0.007,0.6,247,60.3,-0.0097,-2.4,0.96,69.0,47.0,0.0,0.0,21.0,0.0,32.0
P1-11,short,IS,0.007,0.8,657,57.7,0.0007,0.43,1.0,90.9,35.0,0.0,0.0,9.0,0.0,56.0
P1-11,short,OOS,0.007,0.8,247,62.3,0.0049,1.22,1.02,72.2,49.0,0.0,0.0,15.0,0.0,36.0
P1-11,short,IS,0.007,1.0,657,57.7,0.0025,1.64,1.01,92.1,35.0,0.0,0.0,8.0,0.0,57.0
P1-11,short,OOS,0.007,1.0,247,63.2,0.016,3.96,1.07,74.2,50.0,0.0,0.0,13.0,0.0,37.0
P1-11,short,IS,0.007,1.3,657,57.7,0.005,3.29,1.03,92.8,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.007,1.3,247,63.2,0.0225,5.57,1.1,75.7,50.0,0.0,0.0,11.0,0.0,39.0
P1-11,short,IS,0.007,1.5,657,57.7,0.0042,2.74,1.02,93.0,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.007,1.5,247,63.2,0.021,5.19,1.09,76.4,50.0,0.0,0.0,10.0,0.0,40.0
P1-11,short,IS,0.007,2.0,657,57.7,0.0038,2.51,1.02,93.2,36.0,0.0,0.0,5.0,0.0,59.0
P1-11,short,OOS,0.007,2.0,247,63.2,0.022,5.44,1.1,76.7,50.0,0.0,0.0,9.0,0.0,40.0
P1-11,short,IS,0.01,0.6,657,56.9,-0.0087,-5.7,0.96,87.4,35.0,0.0,0.0,14.0,0.0,51.0
P1-11,short,OOS,0.01,0.6,247,60.3,-0.0097,-2.4,0.96,69.0,47.0,0.0,0.0,21.0,0.0,32.0
P1-11,short,IS,0.01,0.8,657,57.7,0.0007,0.43,1.0,90.9,35.0,0.0,0.0,9.0,0.0,56.0
P1-11,short,OOS,0.01,0.8,247,62.3,0.0049,1.22,1.02,72.2,49.0,0.0,0.0,15.0,0.0,36.0
P1-11,short,IS,0.01,1.0,657,57.7,0.0025,1.64,1.01,92.1,35.0,0.0,0.0,8.0,0.0,57.0
P1-11,short,OOS,0.01,1.0,247,63.2,0.016,3.96,1.07,74.2,50.0,0.0,0.0,13.0,0.0,37.0
P1-11,short,IS,0.01,1.3,657,57.7,0.005,3.29,1.03,92.8,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.01,1.3,247,63.2,0.0225,5.57,1.1,75.7,50.0,0.0,0.0,11.0,0.0,39.0
P1-11,short,IS,0.01,1.5,657,57.7,0.0042,2.74,1.02,93.0,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.01,1.5,247,63.2,0.021,5.19,1.09,76.4,50.0,0.0,0.0,10.0,0.0,40.0
P1-11,short,IS,0.01,2.0,657,57.7,0.0038,2.51,1.02,93.2,36.0,0.0,0.0,5.0,0.0,59.0
P1-11,short,OOS,0.01,2.0,247,63.2,0.022,5.44,1.1,76.7,50.0,0.0,0.0,9.0,0.0,40.0
P1-11,short,IS,0.015,0.6,657,56.9,-0.0087,-5.7,0.96,87.4,35.0,0.0,0.0,14.0,0.0,51.0
P1-11,short,OOS,0.015,0.6,247,60.3,-0.0097,-2.4,0.96,69.0,47.0,0.0,0.0,21.0,0.0,32.0
P1-11,short,IS,0.015,0.8,657,57.7,0.0007,0.43,1.0,90.9,35.0,0.0,0.0,9.0,0.0,56.0
P1-11,short,OOS,0.015,0.8,247,62.3,0.0049,1.22,1.02,72.2,49.0,0.0,0.0,15.0,0.0,36.0
P1-11,short,IS,0.015,1.0,657,57.7,0.0025,1.64,1.01,92.1,35.0,0.0,0.0,8.0,0.0,57.0
P1-11,short,OOS,0.015,1.0,247,63.2,0.016,3.96,1.07,74.2,50.0,0.0,0.0,13.0,0.0,37.0
P1-11,short,IS,0.015,1.3,657,57.7,0.005,3.29,1.03,92.8,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.015,1.3,247,63.2,0.0225,5.57,1.1,75.7,50.0,0.0,0.0,11.0,0.0,39.0
P1-11,short,IS,0.015,1.5,657,57.7,0.0042,2.74,1.02,93.0,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,0.015,1.5,247,63.2,0.021,5.19,1.09,76.4,50.0,0.0,0.0,10.0,0.0,40.0
P1-11,short,IS,0.015,2.0,657,57.7,0.0038,2.51,1.02,93.2,36.0,0.0,0.0,5.0,0.0,59.0
P1-11,short,OOS,0.015,2.0,247,63.2,0.022,5.44,1.1,76.7,50.0,0.0,0.0,9.0,0.0,40.0
P1-11,short,IS,OFF,0.6,657,56.9,-0.0087,-5.7,0.96,87.4,35.0,0.0,0.0,14.0,0.0,51.0
P1-11,short,OOS,OFF,0.6,247,60.3,-0.0097,-2.4,0.96,69.0,47.0,0.0,0.0,21.0,0.0,32.0
P1-11,short,IS,OFF,0.8,657,57.7,0.0007,0.43,1.0,90.9,35.0,0.0,0.0,9.0,0.0,56.0
P1-11,short,OOS,OFF,0.8,247,62.3,0.0049,1.22,1.02,72.2,49.0,0.0,0.0,15.0,0.0,36.0
P1-11,short,IS,OFF,1.0,657,57.7,0.0025,1.64,1.01,92.1,35.0,0.0,0.0,8.0,0.0,57.0
P1-11,short,OOS,OFF,1.0,247,63.2,0.016,3.96,1.07,74.2,50.0,0.0,0.0,13.0,0.0,37.0
P1-11,short,IS,OFF,1.3,657,57.7,0.005,3.29,1.03,92.8,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,OFF,1.3,247,63.2,0.0225,5.57,1.1,75.7,50.0,0.0,0.0,11.0,0.0,39.0
P1-11,short,IS,OFF,1.5,657,57.7,0.0042,2.74,1.02,93.0,36.0,0.0,0.0,6.0,0.0,58.0
P1-11,short,OOS,OFF,1.5,247,63.2,0.021,5.19,1.09,76.4,50.0,0.0,0.0,10.0,0.0,40.0
P1-11,short,IS,OFF,2.0,657,57.7,0.0038,2.51,1.02,93.2,36.0,0.0,0.0,5.0,0.0,59.0
P1-11,short,OOS,OFF,2.0,247,63.2,0.022,5.44,1.1,76.7,50.0,0.0,0.0,9.0,0.0,40.0
